sample.id,extractor,week,unique.id,sample.date,mycorrhizal.fungi.type,landscape.position,tree.identity,season,bacterial.feeders,fungal.feeders,fungal.feeders.aph.,plant.parasites.aph.,plant.parasites,omnivorous,predators,unknown,total.nematodes,soil.moisture,AIRTEMP,SOILTEMP,PRECIP,simpson,season.1
29,LPH,Week10,Sample29_Week10,3/10/2023,AM,Downhill,Tulip Poplar,Winter.late,2556.45,218.23,NA,1543.22,NA,233.82,0,233.82,4785.56,35.65,7.05859375,7.531145833,64.262,0.564668731,Winter
30,LPH,Week10,Sample30_Week10,3/10/2023,AM,Downhill,Black Cherry (Padus),Winter.late,1611.61,133.07,NA,2469.17,NA,236.57,133.07,413.99,4997.47,32.02,7.05859375,7.531145833,64.262,0.581811275,Winter
46,LPH,Week10,Sample46_Week10,3/10/2023,AM,Downhill,Tulip Poplar,Winter.late,953.87,0,NA,2068.95,NA,13.43,26.87,26.87,3089.99,26.05,7.05859375,7.531145833,64.262,0.446713403,Winter
50,LPH,Week10,Sample50_Week10,3/10/2023,ECM,Downhill,Hickory,Winter.late,4276.16,113.65,NA,5355.85,NA,255.72,213.1,483.02,10697.5,29.72,7.05859375,7.531145833,64.262,0.548625843,Winter
90,LPH,Week10,Sample90_Week10,3/10/2023,ECM,Uphill,Shagbark Hickory,Winter.late,4581.38,0,NA,10010.19,NA,344.27,211.86,264.82,15412.51,25.19,7.05859375,7.531145833,64.262,0.471105408,Winter
97,LPH,Week10,Sample97_Week10,3/10/2023,ECM,Uphill,Hickory,Winter.late,4955.58,0,NA,5063.6,NA,310.57,216.05,702.15,11247.95,26.58,7.05859375,7.531145833,64.262,0.547350192,Winter
175,LPH,Week10,Sample175_Week10,3/10/2023,AM,Uphill,Maple,Winter.late,5845.75,55.67,NA,9130.5,NA,890.78,194.86,695.92,16813.49,28.51,7.05859375,7.531145833,64.262,0.544324725,Winter
177,LPH,Week10,Sample177_Week10,3/10/2023,AM,Uphill,Elm,Winter.late,3361.67,609.98,NA,4635.85,NA,487.98,122,447.32,9664.8,26.13,7.05859375,7.531145833,64.262,0.606682528,Winter
29,LPH,Week13,Sample29_Week13,3/29/2023,AM,Downhill,Tulip Poplar,Winter.late,3733.37,103.29,NA,1874.06,NA,265.62,29.51,147.56,6153.42,32.01,8.06078125,8.065416667,93.472,0.51394144,Winter
30,LPH,Week13,Sample30_Week13,3/29/2023,AM,Downhill,Black Cherry (Padus),Winter.late,1787.52,0,NA,2054.94,NA,98.52,0,70.37,4011.36,28.62,8.06078125,8.065416667,93.472,0.521759211,Winter
46,LPH,Week13,Sample46_Week13,3/29/2023,AM,Downhill,Tulip Poplar,Winter.late,1319.18,0,NA,1986.53,NA,15.52,0,294.88,3616.11,36.07,8.06078125,8.065416667,93.472,0.484452857,Winter
