sample.id,week,unique.id,sample.date,sample.type,mycorrhizal.fungi.type,landscape.position,tree.identity,season,acarina,araneida,coleoptera,collembola,diptera,enchytraeida,gastropoda,hemiptera,Hymenoptera.notAnts,Hymenoptera.formicidae,isopoda,myriapoda,opisthopora,diplura,dermaptera,lepidoptera,opiliones,blattodea,pseudoscorpiones,psocopteran,thysanoptera,unknown,totalAbundance,soil.moisture,AIRTEMP,SOILTEMP,PRECIP,shannon
17,Week10,Sample17L_Week10,3/10/2023,Litter,AM,Uphill,Maple,Winter.early,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,NA,7.05859375,7.531145833,64.262,1.098612289
17,Week10,Sample17S_Week10,3/10/2023,Soil,AM,Uphill,Maple,Winter.early,0,16,32,16,96,16,0,16,0,64,16,64,32,0,0,0,0,0,0,0,0,0,368,NA,7.05859375,7.531145833,64.262,2.065342023
29,Week10,Sample29L_Week10,3/10/2023,Litter,AM,Downhill,Tulip Poplar,Winter.early,0,0,0,240,240,64,32,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,592,35.65,7.05859375,7.531145833,64.262,1.227864458
29,Week10,Sample29S_Week10,3/10/2023,Soil,AM,Downhill,Tulip Poplar,Winter.early,0,16,48,128,160,240,0,0,0,0,0,16,208,0,0,0,0,0,0,0,0,0,816,35.65,7.05859375,7.531145833,64.262,1.639231225
50,Week10,Sample50L_Week10,3/10/2023,Litter,ECM,Downhill,Hickory,Winter.early,0,48,0,80,16,0,32,16,112,0,0,0,0,0,0,0,0,0,0,0,0,32,336,29.72,7.05859375,7.531145833,64.262,1.557560462
50,Week10,Sample50S_Week10,3/10/2023,Soil,ECM,Downhill,Hickory,Winter.early,0,16,16,48,96,32,16,0,0,128,0,144,288,0,0,0,0,0,0,0,0,0,784,29.72,7.05859375,7.531145833,64.262,1.772025743
97,Week10,Sample97L_Week10,3/10/2023,Litter,ECM,Uphill,Hickory,Winter.early,0,32,0,96,128,0,0,0,16,0,0,0,80,0,0,0,0,0,0,0,0,0,352,26.58,7.05859375,7.531145833,64.262,1.417425496
97,Week10,Sample97S_Week10,3/10/2023,Soil,ECM,Uphill,Hickory,Winter.early,0,192,304,80,144,32,0,16,0,816,48,144,768,0,0,0,0,0,0,0,0,0,2544,26.58,7.05859375,7.531145833,64.262,1.770895778
47,Week19,Sample47L_Week19,5/11/2023,Litter,AM,Downhill,Tulip Poplar,Spring,0,64,16,16,16,0,0,0,0,32,0,16,0,0,0,0,0,0,0,0,0,0,160,29.16,16.97859375,16.28739583,44.704,1.609437912
47,Week19,Sample47S_Week19,5/11/2023,Soil,AM,Downhill,Tulip Poplar,Spring,0,32,64,64,160,304,0,0,0,0,32,48,784,0,0,0,0,0,0,0,0,0,1488,29.16,16.97859375,16.28739583,44.704,1.448425659
60,Week19,Sample60L_Week19,5/11/2023,Litter,ECM,Downhill,Hornbeam,Spring,0,144,32,48,16,32,32,16,0,32,16,48,0,0,0,16,0,0,0,48,0,0,480,25.24,16.97859375,16.28739583,44.704,2.227607074
60,Week19,Sample60S_Week19,5/11/2023,Soil,ECM,Downhill,Hornbeam,Spring,0,32,64,352,208,432,0,32,0,48,0,688,1056,0,16,0,0,0,0,0,0,0,2928,25.24,16.97859375,16.28739583,44.704,1.711140295
89,Week19,Sample89L_Week19,5/11/2023,Litter,AM,Uphill,Maple,Spring,0,0,16,32,0,0,0,0,0,0,0,48,0,0,0,16,0,0,0,0,0,0,112,23.03,16.97859375,16.28739583,44.704,1.277034259
89,Week19,Sample89S_Week19,5/11/2023,Soil,AM,Uphill,Maple,Spring,0,0,176,16,208,64,16,0,16,464,0,128,144,32,0,0,0,0,0,0,0,0,1264,23.03,16.97859375,16.28739583,44.704,1.828754257
99,Week19,Sample99L_Week19,5/11/2023,Litter,ECM,Uphill,Hickory,Spring,0,16,0,48,0,0,0,0,0,16,0,48,0,0,0,0,0,0,0,0,0,0,128,28.74,16.97859375,16.28739583,44.704,1.255482325
99,Week19,Sample99S_Week19,5/11/2023,Soil,ECM,Uphill,Hickory,Spring,16,0,0,80,576,176,0,0,0,640,16,624,64,64,0,16,16,0,0,0,0,0,2288,28.74,16.97859375,16.28739583,44.704,1.711409969
18,Week29,Sample18L_Week29,7/20/2023,Litter,AM,Uphill,Silver Maple,Summer,0,16,16,80,16,0,32,0,16,320,16,160,0,0,0,0,0,0,0,0,16,16,704,NA,24.12510417,22.95572917,54.61,1.612968015
18,Week29,Sample18S_Week29,7/20/2023,Soil,AM,Uphill,Silver Maple,Summer,0,32,160,112,224,288,0,16,0,16,64,848,352,128,16,0,0,0,0,0,16,48,2320,NA,24.12510417,22.95572917,54.61,1.94444589
53,Week29,Sample53L_Week29,7/20/2023,Litter,AM,Downhill,Tulip Poplar,Summer,0,0,16,128,0,0,16,0,16,160,0,0,0,0,0,16,0,0,16,16,0,0,384,25.9,24.12510417,22.95572917,54.61,1.525496194
53,Week29,Sample53S_Week29,7/20/2023,Soil,AM,Downhill,Tulip Poplar,Summer,64,80,432,480,32,160,0,32,32,3376,16,448,736,16,0,16,0,0,0,0,0,0,5920,25.9,24.12510417,22.95572917,54.61,1.506849183
56,Week29,Sample56L_Week29,7/20/2023,Litter,ECM,Downhill,Musclewood,Summer,0,0,0,80,16,0,64,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,176,32.83,24.12510417,22.95572917,54.61,1.162225545
56,Week29,Sample56S_Week29,7/20/2023,Soil,ECM,Downhill,Musclewood,Summer,16,16,80,288,144,96,16,0,0,32,0,160,656,0,0,0,0,0,0,0,0,0,1504,32.83,24.12510417,22.95572917,54.61,1.700017556
88,Week29,Sample88L_Week29,7/20/2023,Litter,AM,Uphill,Silver Maple,Summer,0,48,48,192,0,0,64,0,0,32,48,16,0,0,0,16,0,0,0,0,0,0,464,27.68,24.12510417,22.95572917,54.61,1.759093685
88,Week29,Sample88S_Week29,7/20/2023,Soil,AM,Uphill,Silver Maple,Summer,0,0,160,112,384,192,16,16,0,416,32,384,0,0,0,0,0,0,0,0,16,0,1728,27.68,24.12510417,22.95572917,54.61,1.857043357
52,Week37,Sample52L_Week37,9/15/2023,Litter,ECM,Downhill,American Basswood,Fall,0,0,16,0,0,0,16,0,0,64,0,0,0,0,0,16,0,0,0,0,0,0,112,16.63,18.53494792,21.23854167,0.508,1.153741943
52,Week37,Sample52S_Week37,9/15/2023,Soil,ECM,Downhill,American Basswood,Fall,0,0,80,0,32,32,0,0,0,32,16,16,384,16,0,16,0,0,0,0,0,0,624,16.63,18.53494792,21.23854167,0.508,1.39485999
57,Week37,Sample57L_Week37,9/15/2023,Litter,AM,Downhill,Black Walnut,Fall,0,16,32,0,16,0,0,0,0,160,0,16,0,0,0,0,0,16,0,0,0,0,256,17.74,18.53494792,21.23854167,0.508,1.246829642
